relative_time,data_id,co2_concentration,brix,out_temperature,in_temperature,ph,pressure_upper,pressure_lower,batch_id
16920.0,966.0,34837.0,0.0,29.5,29.5,0.0,1007.5131,0.0,5.0
16980.0,967.0,34654.0,0.0,29.562,29.562,0.0,1007.6089,0.0,5.0
17040.0,968.0,35142.0,0.0,29.562,29.562,0.0,1007.4991,0.0,5.0
17100.0,969.0,35732.0,0.0,29.437,29.437,0.0,1007.5867,0.0,5.0
17160.0,970.0,36097.0,0.0,29.5,29.5,0.0,1007.5319,0.0,5.0
17220.0,971.0,36672.0,0.0,29.5,29.5,0.0,1007.5812,0.0,5.0
17280.0,972.0,36811.0,0.0,29.5,29.5,0.0,1007.5861,0.0,5.0
17340.0,973.0,36878.0,0.0,29.5,29.5,0.0,1007.5501,0.0,5.0
17400.0,974.0,36735.0,0.0,29.562,29.562,0.0,1007.6421,0.0,5.0
17460.0,975.0,36436.0,0.0,29.562,29.562,0.0,1007.61,0.0,5.0
17520.0,976.0,36093.0,0.0,29.562,29.562,0.0,1007.6106,0.0,5.0
17580.0,977.0,35759.0,0.0,29.562,29.562,0.0,1007.6404,0.0,5.0
17640.0,978.0,35302.0,0.0,29.5,29.5,0.0,1007.6128,0.0,5.0
17700.0,979.0,34910.0,0.0,29.562,29.562,0.0,1007.7268,0.0,5.0
17760.0,980.0,35005.0,0.0,29.625,29.625,0.0,1007.6963,0.0,5.0
17820.0,981.0,35031.0,0.0,29.625,29.625,0.0,1007.7268,0.0,5.0
17880.0,982.0,35089.0,0.0,29.562,29.562,0.0,1007.7894,0.0,5.0
17940.0,983.0,35436.0,0.0,29.562,29.562,0.0,1007.6208,0.0,5.0
18000.0,984.0,35733.0,0.0,29.625,29.625,0.0,1007.7268,0.0,5.0
18060.0,985.0,36325.0,0.0,29.625,29.625,0.0,1007.7794,0.0,5.0
18120.0,986.0,36545.0,0.0,29.625,29.625,0.0,1007.8178,0.0,5.0
18180.0,987.0,36500.0,0.0,29.562,29.562,0.0,1007.7715,0.0,5.0
18240.0,988.0,36244.0,0.0,29.625,29.625,0.0,1007.7654,0.0,5.0
18300.0,989.0,35750.0,0.0,29.625,29.625,0.0,1007.8722,0.0,5.0
18360.0,990.0,35083.0,0.0,29.625,29.625,0.0,1007.6428,0.0,5.0
18420.0,991.0,34674.0,0.0,29.625,29.625,0.0,1007.8854,0.0,5.0
18480.0,992.0,34530.0,0.0,29.625,29.625,0.0,1007.8047,0.0,5.0
18540.0,993.0,34362.0,0.0,29.687,29.687,0.0,1007.8988,0.0,5.0
